DemandNumber,RRD_Market,DU_Lead,Demand_Owner,DEMAND_SUB_SEGMENTATION,Demand_Category,Demand_Alert,CRSD_Date,RHL_Y_Date,Capability,Dmd_Skill,Dmd_Level,Dmd_Location,Client_Interview_(Y/N)
R40417224,North America Market,robertclark@example.org,Taylor Andrews,Attrition,Domestic Clients,Project - OR,3/3/2024 2:58,8/13/2024 15:49,Microsoft Business Apps,Sitecore,7,Hyderabad,Yes
R40225872,AVANADE,frenchbradley@example.org,Andrew Mccann,New Deal,Domestic Clients,Client Interview - OR,10/24/2024 2:18,2/26/2024 0:43,Microsoft Business Apps,Microsoft Azure Analytics Services,9,Gurugram,Yes
R40739991,Europe,samuel56@example.net,Joshua Osborne,Project Initiated,Captive,Open For Internal Fulfillment,5/6/2024 10:33,4/10/2024 3:27,Microsoft Platform,Microsoft Azure DevOps,5,Noida,Yes
R40557748,AA&ME,michaelsmith@example.net,Ms. Theresa Wolfe,Project Initiated,Global Clients,Open For Internal Fulfillment,6/18/2024 20:51,6/13/2024 1:46,Microsoft Business Apps,ASP.NET MVC,7,Noida,Yes
R40543857,North America Market,welchtaylor@example.org,Ian Brown,Project Initiated,Global-Captive,Project - OR,4/16/2024 11:37,4/9/2024 23:28,Microsoft Business Apps,Microsoft 365 SharePoint Online Development,9,Chennai,Yes
R40088182,North America Market,hcrawford@example.com,Ronald Durham,Ramp-up,Captive,Client Interview - OR,5/19/2024 13:25,6/10/2024 14:11,Microsoft Business Apps,Microsoft Azure IaaS,8,Hyderabad,No
R40530650,Growth Markets,sarahcampbell@example.net,David Pratt,Attrition,Captive,Open For Internal Fulfillment,2/29/2024 9:48,8/16/2024 10:39,Microsoft Platform,Microsoft Azure Analytics Services,8,Ahmedabad,Yes
R40590504,AA&ME,ashleywalker@example.org,Amanda King,Ramp-up,Captive,Project - OR,6/11/2024 6:03,5/16/2024 1:27,Microsoft Platform,Microsoft SQL Server,10,Chennai,Yes
R40751399,Growth Markets,tammy41@example.org,David Allen,Attrition,Domestic Clients,Project - OR,9/19/2024 0:08,6/30/2024 6:15,Microsoft Platform,Microsoft Functional Testing,7,Hyderabad,Yes
R40963184,Europe,natalie18@example.com,John Miller,Attrition,Domestic Clients,Client Interview - OR,6/7/2024 10:24,6/5/2024 17:29,Microsoft Business Apps,Sitecore,5,Mumbai,No
R40693751,North America Market,leblancanne@example.com,Nicole Barnes,Attrition,Captive,Open For Internal Fulfillment,1/17/2024 10:52,2/25/2024 10:46,Microsoft Business Apps,Microsoft Front End Development (FED) Angular,8,Gurugram,No
R40398789,Europe,urobinson@example.org,Jeremy Jensen,Ramp-up,Global Clients,Client Interview - OR,8/20/2024 23:56,8/26/2024 13:59,Microsoft Business Apps,Microsoft SQL Server Integration Services SSIS,5,Gurugram,Yes
R40340709,North America Market,nmerritt@example.net,Daniel Marsh,Ramp-up,Global-Captive,Project - OR,9/23/2024 12:56,5/16/2024 7:19,Microsoft Platform,Microsoft Dynamics CRM Functional,6,Gurugram,Yes
R40332044,AVANADE,mooregrant@example.net,James Roberts,Project Initiated,Captive,Project - OR,5/4/2024 9:02,12/2/2024 9:30,Microsoft Business Apps,Microsoft SQL Server Integration Services SSIS,4,Ahmedabad,Yes
R40106571,AVANADE,kennedydaniel@example.com,Devin Briggs,Employee Initiated,Domestic Clients,Client Interview - OR,6/24/2024 14:54,1/14/2024 15:36,Microsoft Platform,Microsoft Front End Development React Javascript (FED ReactJS),5,Bengaluru,Yes
R40918896,Europe,shawmatthew@example.net,Katherine Green,New Deal,Global-Captive,Client Interview - OR,3/18/2024 19:05,1/10/2024 9:54,Microsoft Business Apps,Microsoft Azure Analytics Services,6,Indore,No
R40780197,North America Market,meganlee@example.net,Sandra Shepherd,Employee Initiated,Global-Captive,Open For Internal Fulfillment,11/3/2024 13:37,9/24/2024 15:14,Microsoft Business Apps,ASP.NET MVC,8,Kolkata,No
R40152262,AA&ME,beckaaron@example.com,Michelle Scott,Employee Initiated,Captive,Open For Internal Fulfillment,1/25/2024 18:31,11/10/2024 1:58,Microsoft Business Apps,Microsoft Azure Analytics Services,10,Noida,Yes
R40805452,Europe,williamsbilly@example.net,Isaac Cooke,Attrition,Global-Captive,Project - OR,5/22/2024 10:27,6/8/2024 16:42,Microsoft Platform,Microsoft Robotic Process Automation Advanced,7,Pune,No
